site,overallLH,overallSH,overallNEE,length,days,ratio
US-Whs,0.92,0.97,0.81,63619,2922,0.93
US-Wi0,0.95,0.95,0.8,4621,365,0.62
AU-Ade,0.9,0.91,0.74,13582,1096,0.51
AU-RDF,0.91,0.92,0.66,15459,1096,0.57
AU-Stp,0.9,0.92,0.77,49996,2557,0.8
AU-Whr,0.91,0.92,0.61,26359,1461,0.77
CN-Du2,0.95,0.99,0.55,22861,1096,0.9
CN-HaM,0.9,0.98,0.78,17801,1096,0.67
DE-Meh,0.96,0.97,0.0,28118,1461,0.82
DK-Sor,0.9,0.94,0.78,146142,6940,0.92
FR-Hes,0.93,0.94,0.0,97072,3652,0.96
IT-Mal,0.9,0.94,0.0,15327,731,0.82
PT-Mi2,0.92,0.96,0.0,23140,730,0.96
US-MMS,0.9,0.91,0.52,67330,5844,0.96
US-NR1,0.9,0.9,0.52,135349,6209,0.96
US-SP1,0.97,0.98,0.0,8940,365,1.0
US-SRG,0.9,0.95,0.73,58609,2557,0.97
US-UMd,0.92,0.9,0.66,64735,2922,0.92
US-Wkg,0.9,0.95,0.63,92041,4018,0.96
AU-Cpr,0.88,0.89,0.75,35162,1826,0.83
AU-DaP,0.8,0.8,0.62,52268,2557,0.82
AU-DaS,0.83,0.84,0.6,61724,2557,0.97
AU-Emr,0.85,0.85,0.69,21075,1096,0.85
AU-Gin,0.85,0.86,0.71,24353,1461,0.71
AU-How,0.85,0.86,0.66,96980,5113,0.78
AU-Rig,0.82,0.82,0.64,33284,1461,0.97
CA-NS1,0.87,0.91,0.64,30269,1826,0.71
CA-NS3,0.87,0.88,0.63,22689,1826,0.54
CA-NS6,0.85,0.85,0.56,33987,1826,0.8
CA-Qfo,0.86,0.84,0.76,59740,2922,0.9
CA-SF1,0.8,0.86,0.39,28541,1461,0.82
CA-SF2,0.85,0.89,0.39,34566,1826,0.77
CA-SF3,0.83,0.89,0.4,38701,2191,0.75
CH-Dav,0.83,0.9,0.44,158994,6574,0.93
CN-Cng,0.88,0.91,0.65,28335,1461,0.88
DE-Geb,0.84,0.88,0.6,115812,5113,1.0
DE-Gri,0.84,0.88,0.66,88364,4018,0.98
DE-Obe,0.84,0.87,0.38,56812,2557,0.99
DE-Spw,0.83,0.86,0.63,36581,1826,0.88
DE-Tha,0.87,0.89,0.61,155447,6940,0.99
DE-Wet,0.89,0.9,0.0,42399,1826,1.0
DK-Lva,0.89,0.96,0.0,18571,730,0.92
DK-Ris,0.83,0.87,0.0,16584,731,1.0
ES-ES2,0.82,0.94,0.0,16924,730,0.97
ES-Ln2,0.84,0.97,0.77,4836,365,0.54
FI-Hyy,0.87,0.88,0.55,157036,6940,0.97
FR-Fon,0.86,0.95,0.7,81997,3652,0.98
IL-Yat,0.83,0.88,0.0,23883,1095,0.89
JP-SMF,0.8,0.87,0.38,33042,1826,0.8
NO-Blv,0.83,0.87,0.55,3716,731,0.71
PL-wet,0.83,0.87,0.0,16164,731,0.9
RU-Fyo,0.81,0.89,0.54,138202,6209,0.98
RU-Ha1,0.9,0.86,0.57,14961,1096,0.55
SE-Fla,0.82,0.82,0.0,37584,1826,0.87
UK-Ham,0.87,0.87,0.0,18946,731,0.82
UK-PL3,0.88,0.99,0.0,22245,730,0.95
US-AR1,0.85,0.88,0.65,32071,1461,0.92
US-AR2,0.88,0.92,0.77,27487,1461,0.78
US-ARM,0.89,0.94,0.51,80808,3653,0.92
US-ARb,0.83,0.89,0.59,14839,730,0.87
US-ARc,0.88,0.94,0.68,14965,730,0.88
US-Blo,0.81,0.86,0.49,74839,4017,0.78
US-MOz,0.85,0.87,0.0,17034,730,1.0
US-Me6,0.8,0.87,0.59,37563,1826,0.9
US-Myb,0.84,0.93,0.51,36121,1826,0.84
US-Ne1,0.85,0.9,0.71,51335,4748,0.93
US-Ne2,0.87,0.93,0.73,50723,4748,0.91
US-Ne3,0.86,0.93,0.73,49936,4748,0.9
US-ORv,0.8,0.84,0.7,7616,365,0.9
US-SP2,0.8,0.81,0.0,54884,2557,0.85
US-SRM,0.89,0.96,0.62,94133,4018,0.99
US-Tw3,0.85,0.94,0.31,13789,730,0.84
US-Tw4,0.86,0.93,0.49,9239,730,0.64
US-UMB,0.84,0.88,0.66,62496,5479,0.97
US-Var,0.88,0.93,0.71,116445,5479,0.93
